"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\AuthReducer\action.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\AuthReducer\constants.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\AuthReducer\reducer.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\CategoryReducer\action.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\CategoryReducer\constants.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\CategoryReducer\reducer.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\EmployeesReducer\action.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\EmployeesReducer\constants.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\EmployeesReducer\reducer.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\ProductsReducer\action.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 8, 39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\ProductsReducer\constants.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\ProductsReducer\reducer.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 5, 53
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\UsersReducer\action.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\UsersReducer\constants.jsx", "JavaScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\UsersReducer\reducer.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\authApi.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\axiosConfig.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 24, 9, 64
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\categoryApi.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\employeeApi.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\productApi.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\userApi.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\constants\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\useReponsive.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 4, 15, 48
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\DashboardLayout.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 4, 10, 50
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\header\AccountPopover.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 0, 4, 14, 115
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\header\LanguagePopover.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 0, 0, 3, 10, 88
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\header\NotificationsPopover.jsx", "JavaScript JSX", 0, 0, 0, 247, 0, 0, 0, 6, 24, 277
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\header\Searchbar.jsx", "JavaScript JSX", 0, 0, 0, 63, 0, 0, 0, 5, 10, 78
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\header\index.jsx", "JavaScript JSX", 0, 0, 0, 61, 0, 0, 0, 6, 12, 79
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\nav\config.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 2, 5, 32
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\nav\index.jsx", "JavaScript JSX", 0, 0, 0, 100, 0, 0, 0, 8, 16, 124
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\simple\SimpleLayout.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 4, 6, 34
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\simple\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
